100
(2, 58)
(74, 11)
(88, 76)
(60, 4)
(72, 29)
(34, 87)
(30, 16)
(78, 69)
(10, 94)
(50, 83)
(39, 47)
(29, 64)
(99, 82)
(69, 29)
(95, 8)
(13, 38)
(98, 27)
(1, 39)
(13, 83)
(71, 92)
(17, 37)
(44, 23)
(41, 32)
(61, 5)
(15, 67)
(41, 70)
(84, 87)
(43, 42)
(78, 30)
(33, 70)
(55, 18)
(15, 61)
(2, 84)
(81, 36)
(61, 73)
(37, 62)
(46, 26)
(35, 78)
(4, 42)
(24, 26)
(91, 81)
(38, 83)
(74, 32)
(83, 22)
(60, 59)
(56, 12)
(68, 50)
(30, 50)
(72, 21)
(48, 67)
(70, 33)
(69, 41)
(3, 60)
(24, 16)
(56, 93)
(38, 21)
(20, 13)
(94, 83)
(57, 74)
(21, 76)
(69, 85)
(33, 94)
(90, 28)
(99, 15)
(72, 95)
(2, 91)
(21, 75)
(45, 76)
(83, 93)
(45, 94)
(70, 62)
(33, 74)
(7, 52)
(55, 13)
(97, 54)
(96, 64)
(19, 25)
(74, 34)
(5, 13)
(100, 58)
(27, 97)
(83, 98)
(27, 75)
(87, 96)
(70, 53)
(26, 47)
(94, 52)
(35, 20)
(2, 71)
(12, 7)
(70, 26)
(35, 12)
(23, 24)
(91, 16)
(93, 89)
(29, 87)
(53, 61)
(33, 12)
(86, 28)
(14, 43)

