250
(4, 83)
(18, 73)
(9, 44)
(6, 150)
(4, 184)
(67, 97)
(51, 225)
(30, 77)
(33, 200)
(87, 90)
(85, 207)
(46, 134)
(25, 42)
(63, 100)
(46, 129)
(60, 207)
(63, 119)
(13, 173)
(6, 165)
(99, 207)
(44, 239)
(27, 223)
(28, 133)
(48, 40)
(27, 9)
(20, 12)
(32, 90)
(29, 109)
(72, 78)
(65, 103)
(35, 57)
(78, 31)
(2, 71)
(22, 104)
(48, 54)
(73, 155)
(95, 209)
(22, 176)
(94, 89)
(46, 37)
(89, 241)
(12, 170)
(31, 137)
(95, 89)
(31, 13)
(10, 86)
(32, 111)
(50, 19)
(44, 64)
(44, 10)
(35, 38)
(22, 118)
(1, 161)
(94, 244)
(79, 69)
(16, 26)
(53, 215)
(95, 190)
(95, 226)
(51, 136)
(48, 24)
(88, 166)
(44, 32)
(96, 113)
(14, 198)
(40, 151)
(51, 17)
(77, 103)
(86, 133)
(38, 236)
(39, 192)
(8, 1)
(39, 208)
(65, 239)
(48, 53)
(99, 187)
(13, 82)
(37, 83)
(14, 234)
(4, 127)
(41, 164)
(50, 219)
(53, 238)
(62, 17)
(91, 140)
(94, 181)
(88, 225)
(24, 46)
(6, 199)
(93, 111)
(15, 220)
(21, 143)
(44, 112)
(59, 97)
(44, 211)
(33, 145)
(43, 189)
(13, 156)
(19, 30)
(68, 186)
(19, 121)
(65, 215)
(15, 38)
(15, 26)
(68, 246)
(97, 159)
(73, 181)
(51, 106)
(81, 93)
(47, 84)
(48, 25)
(86, 31)
(74, 3)
(13, 19)
(64, 38)
(63, 37)
(33, 122)
(29, 229)
(5, 143)
(72, 152)
(74, 96)
(55, 133)
(61, 63)
(51, 91)
(92, 47)
(2, 159)
(94, 128)
(66, 57)
(72, 59)
(15, 216)
(62, 157)
(76, 145)
(90, 30)
(50, 125)
(60, 51)
(53, 4)
(21, 221)
(29, 150)
(37, 193)
(74, 240)
(66, 116)
(61, 123)
(60, 164)
(95, 102)
(8, 16)
(81, 120)
(51, 170)
(26, 39)
(24, 28)
(74, 27)
(18, 91)
(98, 109)
(14, 124)
(58, 16)
(71, 230)
(65, 22)
(52, 146)
(22, 40)
(71, 35)
(66, 150)
(33, 137)
(95, 175)
(10, 73)
(78, 207)
(67, 234)
(67, 193)
(63, 7)
(23, 22)
(79, 156)
(88, 244)
(53, 1)
(7, 180)
(15, 50)
(27, 156)
(47, 230)
(6, 18)
(22, 136)
(51, 158)
(54, 137)
(82, 60)
(90, 167)
(97, 78)
(25, 164)
(47, 203)
(33, 65)
(52, 54)
(26, 144)
(90, 178)
(62, 105)
(56, 98)
(72, 7)
(40, 176)
(76, 244)
(8, 131)
(44, 215)
(47, 50)
(62, 185)
(78, 128)
(72, 3)
(56, 90)
(45, 30)
(64, 1)
(73, 133)
(61, 37)
(35, 189)
(78, 61)
(81, 159)
(77, 179)
(82, 217)
(55, 72)
(34, 245)
(2, 183)
(24, 104)
(73, 50)
(16, 31)
(15, 77)
(12, 176)
(7, 217)
(85, 125)
(68, 83)
(71, 53)
(38, 14)
(99, 220)
(67, 74)
(74, 145)
(100, 215)
(21, 99)
(15, 24)
(86, 126)
(83, 206)
(61, 180)
(19, 233)
(24, 4)
(30, 41)
(77, 85)
(66, 65)
(99, 132)
(25, 43)
(53, 186)
(47, 46)
(98, 171)
(81, 242)
(34, 44)
(61, 204)
(67, 32)
(25, 200)
(77, 142)
(27, 241)
(58, 86)
(30, 184)

